index	filename	highres_url	source_url
1	01.jpg	https://miro.medium.com/v2/1*q1rPpj830v7p3vGRrkbuHA.jpeg	https://miro.medium.com/v2/resize:fill:32:32/1*q1rPpj830v7p3vGRrkbuHA.jpeg
2	02.png	https://miro.medium.com/v2/1*8gDKgAdRYrqgYmABs3TcJA.png	https://miro.medium.com/v2/resize:fit:2640/1*8gDKgAdRYrqgYmABs3TcJA.png
3	03.png	https://miro.medium.com/v2/1*-JnDp_AQliMsQrGVQGnS5g.png	https://miro.medium.com/v2/resize:fit:700/1*-JnDp_AQliMsQrGVQGnS5g.png
4	04.png	https://miro.medium.com/v2/1*i4NLjezTno-fDG7LGo11gg.png	https://miro.medium.com/v2/resize:fit:3618/1*i4NLjezTno-fDG7LGo11gg.png
5	05.png	https://miro.medium.com/v2/1*Cwx5Z8zHhABV6xd_ziTpcA.png	https://miro.medium.com/v2/resize:fit:3376/1*Cwx5Z8zHhABV6xd_ziTpcA.png
6	06.gif	https://miro.medium.com/v2/1*bDUAXyLSn83alFxDdMZwgQ.gif	https://miro.medium.com/v2/resize:fit:396/1*bDUAXyLSn83alFxDdMZwgQ.gif
7	07.png	https://miro.medium.com/v2/1*07aQlUBJRpA3UBug-KK00g.png	https://miro.medium.com/v2/resize:fit:3706/1*07aQlUBJRpA3UBug-KK00g.png
8	08.png	https://miro.medium.com/v2/1*-2IiYomf76zGrTSvUtWWgQ.png	https://miro.medium.com/v2/resize:fit:3552/1*-2IiYomf76zGrTSvUtWWgQ.png
9	09.png	https://miro.medium.com/v2/1*LKz6ZfcTDtyNioYlFfB2PQ.png	https://miro.medium.com/v2/resize:fit:1000/1*LKz6ZfcTDtyNioYlFfB2PQ.png
10	10.png	https://miro.medium.com/v2/1*5QnQbHpoN3KWzBHEsfJmcw.png	https://miro.medium.com/v2/resize:fit:3808/1*5QnQbHpoN3KWzBHEsfJmcw.png
11	11.png	https://miro.medium.com/v2/1*TxtCoB_wMG9npYXJBqugCw.png	https://miro.medium.com/v2/resize:fit:3468/1*TxtCoB_wMG9npYXJBqugCw.png
12	12.gif	https://miro.medium.com/v2/1*NzwH2obmOlr4Bdw-XzZrCg.gif	https://miro.medium.com/v2/resize:fit:480/1*NzwH2obmOlr4Bdw-XzZrCg.gif
13	13.png	https://miro.medium.com/v2/1*qKS1WJEHOa3wIoGZ1byjzw.png	https://miro.medium.com/v2/resize:fit:5745/1*qKS1WJEHOa3wIoGZ1byjzw.png
14	14.gif	https://miro.medium.com/v2/1*ngI1xeuGBAyWD-1LGX7lJw.gif	https://miro.medium.com/v2/resize:fit:536/1*ngI1xeuGBAyWD-1LGX7lJw.gif
15	15.png	https://miro.medium.com/v2/1*TkKQqwiVkWpdkyxvrr2BRQ.png	https://miro.medium.com/v2/resize:fit:4650/1*TkKQqwiVkWpdkyxvrr2BRQ.png
16	16.png	https://miro.medium.com/v2/1*80-XP6b1aiiLx9Oqvf6SPg.png	https://miro.medium.com/v2/resize:fit:4496/1*80-XP6b1aiiLx9Oqvf6SPg.png
17	17.png	https://miro.medium.com/v2/1*Y5Ytwuxu4Y_BwdBXvf-Xxw.png	https://miro.medium.com/v2/resize:fit:4496/1*Y5Ytwuxu4Y_BwdBXvf-Xxw.png
18	18.png	https://miro.medium.com/v2/1*TbXZUNRo-tM826shbbfSkQ.png	https://miro.medium.com/v2/resize:fit:3866/1*TbXZUNRo-tM826shbbfSkQ.png
19	19.png	https://miro.medium.com/v2/1*uP_WcCNYfhVfbCORypWnwQ.png	https://miro.medium.com/v2/resize:fit:700/1*uP_WcCNYfhVfbCORypWnwQ.png
20	20.png	https://miro.medium.com/v2/1*aCum_Rd921xNsivnkF3sxA.png	https://miro.medium.com/v2/resize:fit:700/1*aCum_Rd921xNsivnkF3sxA.png
21	21.png	https://miro.medium.com/v2/1*xyuLnboOd8mMg2RnOnntEA.png	https://miro.medium.com/v2/resize:fit:700/1*xyuLnboOd8mMg2RnOnntEA.png
22	22.png	https://miro.medium.com/v2/1*CUz3zadw1dl2IQR8zJ87Gw.png	https://miro.medium.com/v2/resize:fit:700/1*CUz3zadw1dl2IQR8zJ87Gw.png
23	23.png	https://miro.medium.com/v2/1*IGrKXdsxcapk2EE7wAcWjw.png	https://miro.medium.com/v2/resize:fit:3896/1*IGrKXdsxcapk2EE7wAcWjw.png
24	24.png	https://miro.medium.com/v2/1*ZBsynSWoshYDGIEvBxB_OA.png	https://miro.medium.com/v2/resize:fit:4106/1*ZBsynSWoshYDGIEvBxB_OA.png
25	25.png	https://miro.medium.com/v2/1*4qsC4ec_ps7gYuAwBaDCxA.png	https://miro.medium.com/v2/resize:fit:4496/1*4qsC4ec_ps7gYuAwBaDCxA.png
26	26.png	https://miro.medium.com/v2/1*rIx2y7oZNjzA76s2t0ThtQ.png	https://miro.medium.com/v2/resize:fit:4496/1*rIx2y7oZNjzA76s2t0ThtQ.png
27	27.png	https://miro.medium.com/v2/1*kIdrtzbq2ksZO6EQxwWNGg.png	https://miro.medium.com/v2/resize:fit:4496/1*kIdrtzbq2ksZO6EQxwWNGg.png
28	28.png	https://miro.medium.com/v2/1*nL08lns9b0YKQPXvzzwNUQ.png	https://miro.medium.com/v2/resize:fit:4398/1*nL08lns9b0YKQPXvzzwNUQ.png
29	29.png	https://miro.medium.com/v2/1*uUPbkZ50yJ0Cwm-E3ewpRQ.png	https://miro.medium.com/v2/resize:fit:4000/1*uUPbkZ50yJ0Cwm-E3ewpRQ.png
30	30.png	https://miro.medium.com/v2/1*jy4CnuE9b_Wz1GRLxi1CyA.png	https://miro.medium.com/v2/resize:fit:5030/1*jy4CnuE9b_Wz1GRLxi1CyA.png
31	31.png	https://miro.medium.com/v2/1*QpNEf2Dpa-F3MW6kr9VARA.png	https://miro.medium.com/v2/resize:fit:4496/1*QpNEf2Dpa-F3MW6kr9VARA.png
32	32.png	https://miro.medium.com/v2/1*94z9uL_R4RyNNjAGbz-qrQ.png	https://miro.medium.com/v2/resize:fit:4496/1*94z9uL_R4RyNNjAGbz-qrQ.png
33	33.png	https://miro.medium.com/v2/1*Yy8PTz8s9koXlKACVuau5A.png	https://miro.medium.com/v2/resize:fit:4184/1*Yy8PTz8s9koXlKACVuau5A.png
34	34.png	https://miro.medium.com/v2/1*dmvEe50ufY5SO7YTcFe9lA.png	https://miro.medium.com/v2/resize:fit:4496/1*dmvEe50ufY5SO7YTcFe9lA.png
35	35.png	https://miro.medium.com/v2/0*OpA6g5ezKS9McAgy	https://miro.medium.com/v2/resize:fit:400/0*OpA6g5ezKS9McAgy
36	36.png	https://miro.medium.com/v2/1*TTOfg9DRjMz7ysoN4lrOQw.png	https://miro.medium.com/v2/resize:fit:130/1*TTOfg9DRjMz7ysoN4lrOQw.png
